v	B
2590	54.88647739
2589.419187	55.03218018
2588.838634	55.17856367
2588.258342	55.30407919
2587.67831	55.41920489
2587.098537	55.534928
2586.519025	55.65125196
2585.939772	55.76818023
2585.360778	55.854547
2584.782044	55.89071637
2584.203568	55.90841259
2583.625352	55.92616391
2583.047394	55.92886788
2582.469694	55.92271896
2581.892254	55.91661792
2581.315071	55.90894255
2580.738146	55.88211278
2580.161479	55.84359536
2579.58507	55.8051999
2579.008918	55.76692606
2578.433023	55.7287735
2577.857386	55.64110527
2577.282005	55.52809233
2576.706882	55.40098737
2576.132015	55.26641766
2575.557404	55.12264289
2574.98305	54.97942321
2574.408952	54.83673492
2573.83511	54.6820788
2573.261523	54.52677282
2572.688192	54.37202161
2572.115117	54.21782282
2571.542297	54.05343029
2570.969732	53.87038099
2570.397421	53.67906563
2569.825366	53.46930953
2569.253565	53.26057885
2568.682019	53.03046652
2568.110726	52.79150138
2567.539688	52.55379554
2566.968904	52.2867836
2566.398373	51.96395525
2565.828096	51.63721922
2565.258073	51.31274687
2564.688302	50.99052095
2564.118785	50.6733531
2563.54952	50.36539787
2562.980508	50.02778894
2562.411749	49.64642316
2561.843242	49.25827523
2561.274988	48.83172758
2560.706985	48.40300847
2560.139234	47.96445779
2559.571735	47.45869201
2559.004488	46.95891144
2558.437492	46.46503961
2557.870747	45.97286567
2557.304253	45.44660099
2556.73801	44.9048924
2556.172017	44.36638949
2555.606276	43.81478213
2555.040784	43.26898362
2554.475543	42.70694699
2553.910552	42.12917565
2553.34581	41.55956856
2552.781319	40.95588962
2552.217077	40.3496606
2551.653084	39.75319891
2551.089341	39.16633588
2550.525846	38.5869121
2549.962601	37.98116206
2549.399604	37.37421258
2548.836855	36.81198201
2548.274355	36.26318017
2547.712104	35.72670254
2547.1501	35.20908194
2546.588344	34.70208706
2546.026836	34.21922976
2545.465576	33.76622995
2544.904563	33.3195695
2544.343797	32.87915772
2543.783278	32.47786785
2543.223006	32.09092966
2542.662981	31.72235402
2542.103203	31.35883836
2541.543671	31.0328744
2540.984385	30.71738239
2540.425345	30.44479562
2539.866551	30.21943537
2539.308003	30.0011419
2538.749701	29.91982493
2538.191644	29.88552784
2537.633832	29.85316958
2537.076266	29.82274194
2536.518944	29.8330749
2535.961867	29.88730294
2535.405035	29.99488387
2534.848447	30.14072817
2534.292104	30.31994389
2533.736005	30.51780919
2533.180149	30.76511834
2532.624538	31.03566566
2532.06917	31.36422034
2531.514046	31.72588676
2530.959165	32.09318478
2530.404528	32.48262182
2529.850133	32.95345766
2529.295981	33.46170242
2528.742072	34.00618623
2528.188406	34.55983233
2527.634982	35.13474266
2527.0818	35.72357493
2526.52886	36.33636788
2525.976162	36.9688176
2525.423706	37.6114383
2524.871492	38.26129388
2524.319519	38.92226497
2523.767787	39.59486851
2523.216297	40.28269162
2522.665047	40.98520245
2522.114038	41.68500212
2521.56327	42.38132644
2521.012742	43.08611541
2520.462455	43.78870317
2519.912408	44.49713429
2519.362601	45.20174768
2518.813033	45.90644658
2518.263706	46.5695633
2517.714618	47.23746958
2517.165769	47.91538494
2516.61716	48.55568758
2516.06879	49.17818622
2515.520658	49.78819828
2514.972766	50.3895251
2514.425112	50.99832447
2513.877696	51.59330465
2513.330519	52.18421541
2512.78358	52.75727201
2512.236879	53.31605822
2511.690416	53.84378766
